Country,Year,Food Category,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%),Valid
China,2022,Bakery Items,11941.14,10013.69,157.15,1387.28,45.86,Keep
Brazil,2022,Prepared Food,32541.66,31769.86,181.61,958.99,66.05,Keep
Japan,2022,Grains & Cereals,38902.24,41321.62,183.52,155.41,54.63,Keep
Saudi Arabia,2024,Meat & Seafood,23485.33,26696.48,111.9,627.04,65.84,Keep
Spain,2023,Prepared Food,13772.37,12965.94,199.4,1243.65,39.87,Keep
Turkey,2022,Meat & Seafood,45621.2,44279.58,31.47,766.29,68.54,Keep
Turkey,2024,Grains & Cereals,26605.16,28734.29,194.42,998.99,44.43,Keep
Argentina,2022,Frozen Food,8594.59,9752.72,77.76,718.5,68.44,Keep
Italy,2023,Dairy Products,2591.28,2539.45,184.37,894.26,63.12,Keep
Germany,2022,Prepared Food,5379.46,6107.14,48.99,1088.12,45.81,Keep
Germany,2024,Fruits & Vegetables,13107.39,14142.18,133.78,488.34,33.13,Keep
Indonesia,2022,Meat & Seafood,47785.73,54367.08,193.43,46.42,67.79,Keep
Australia,2024,Meat & Seafood,24658.77,21150.24,190.65,987.02,55.65,Keep
South Korea,2022,Frozen Food,44157.47,43402.56,35.06,235.52,43.08,Keep
Argentina,2022,Grains & Cereals,23398.53,21432.11,150.91,780.7,60.33,Keep
Turkey,2022,Grains & Cereals,29640.04,24538.41,52.38,1038.17,44.37,Keep
Italy,2024,Frozen Food,25751.15,27543.65,82.04,169.01,59.64,Keep
Saudi Arabia,2022,Meat & Seafood,5153.47,5204.55,111.25,1055.8,36.23,Keep
Italy,2022,Meat & Seafood,12120.39,12122.38,77.39,133.38,34.16,Keep
Germany,2022,Grains & Cereals,32734.18,37934.01,30.94,349.5,43.62,Keep
Mexico,2024,Prepared Food,25896.07,27820.57,62.31,913.57,45.84,Keep
Mexico,2024,Frozen Food,16759.44,14835.52,159.4,635.84,39.73,Keep
Spain,2022,Fruits & Vegetables,43162.29,46159.5,119.68,650.34,66.47,Keep
Argentina,2023,Fruits & Vegetables,33831.35,30292,171.24,793.74,62.6,Keep
South Africa,2024,Grains & Cereals,25462.07,20702.75,152.13,957.59,53.4,Keep
Australia,2022,Beverages,4103.34,3481.24,162.15,724.16,40.73,Keep
Australia,2022,Grains & Cereals,23468.74,26836.79,74.17,1235.34,42.45,Keep
Spain,2022,Prepared Food,27453.18,32326.41,59.33,635.64,68.7,Keep
South Korea,2022,Frozen Food,34892.77,30087.1,163.47,167.87,56.14,Keep
South Africa,2022,Frozen Food,6241.82,6550.61,151.63,155.33,63.15,Keep
UK,2022,Prepared Food,14507.24,15751.93,103.51,814.7,52.6,Keep
USA,2023,Grains & Cereals,9799.74,9998.61,130.16,157.64,38.6,Keep
South Korea,2022,Fruits & Vegetables,37034.74,31161.26,111.83,152.33,68.43,Keep
Spain,2022,Bakery Items,12957.08,13583.24,26.58,1015.98,50.05,Keep
Turkey,2022,Beverages,39228.94,42712.73,164.94,1094.14,44.58,Keep
South Korea,2022,Dairy Products,19720.77,22541.93,161.86,327.56,35.11,Keep
Canada,2022,Dairy Products,31653.3,35258.38,136.29,98.77,47.28,Keep
Mexico,2022,Frozen Food,40757.12,39501.14,123.04,668.61,62.18,Keep
Japan,2022,Fruits & Vegetables,16373.89,14440.85,118.1,1242.49,32.01,Keep
Turkey,2022,Bakery Items,6263.58,7038.29,183.38,1030.14,68.59,Keep
Australia,2024,Beverages,19597.5,21349.34,135.19,647.32,33.33,Keep
Turkey,2022,Prepared Food,46070.81,46684.82,58.47,674.67,42.72,Keep
Mexico,2022,Bakery Items,6358.72,6242.26,85.89,220.23,47.19,Keep
France,2022,Prepared Food,29885.99,28704.65,187.19,411.09,39.21,Keep
France,2022,Bakery Items,31197.91,28484.77,174.88,445.65,56.67,Keep
USA,2022,Bakery Items,48136.96,43590.5,199.41,766.17,69.19,Keep
China,2024,Frozen Food,6522.86,5334.03,164.16,576.36,59.15,Keep
Australia,2024,Grains & Cereals,6128.27,5386.6,87.95,250.02,60.31,Keep
Russia,2023,Dairy Products,31553.31,27883.34,92.26,1356.17,47.73,Keep
India,2022,Fruits & Vegetables,42863.19,45929.85,115.61,143.68,32.36,Keep
Russia,2024,Dairy Products,3771.8,3221.32,42.31,1374.53,38.63,Keep
Brazil,2022,Meat & Seafood,6583.48,7133.03,53.19,1238.58,68.19,Keep
Japan,2022,Bakery Items,9672.11,11579.58,139.34,899.64,62.32,Keep
Saudi Arabia,2024,Bakery Items,40280.76,45344.83,141.42,607.47,54.25,Keep
Australia,2022,Frozen Food,49145.2,52483.15,198.37,430.64,48.06,Keep
Russia,2022,Fruits & Vegetables,15263.75,14975.08,87.9,111.01,60.75,Keep
Italy,2022,Prepared Food,46237.24,45419.13,117.46,303.71,36.44,Keep
Spain,2022,Fruits & Vegetables,15003.92,13428.76,70.34,1150.31,69.51,Keep
China,2023,Grains & Cereals,38744.41,31808.42,123.07,603,31.41,Keep
Indonesia,2022,Fruits & Vegetables,4892.76,5052.86,28.46,981.08,52.17,Keep
Italy,2022,Grains & Cereals,517.61,576.78,60.93,245.82,35.85,Keep
Australia,2022,Frozen Food,27743.51,25956.39,91.64,163.76,34.36,Keep
Spain,2022,Fruits & Vegetables,26025.35,26034.02,75.12,256.32,53.89,Keep
Turkey,2022,Frozen Food,19155.88,17069.74,33.68,12.54,53.73,Keep
Turkey,2022,Grains & Cereals,34891.84,31559.15,141.45,434.77,52.19,Keep
Brazil,2023,Beverages,25255.87,29351.15,160.37,643.73,36.61,Keep
USA,2022,Grains & Cereals,5391.43,6068.79,138.09,122.74,68.8,Keep
Japan,2024,Beverages,7290.09,6996.1,131.23,502.55,56.59,Keep
Spain,2022,Dairy Products,25959.21,25386.49,92.56,304.05,47.21,Keep
Australia,2023,Meat & Seafood,19342.06,19006.54,175.68,985.03,66.09,Keep
South Korea,2023,Prepared Food,4171.2,3903.89,130.46,1045.87,32.58,Keep
Canada,2023,Bakery Items,34600.63,33104.38,185.05,478.41,61.26,Keep
Japan,2023,Beverages,18902.4,18747.79,100.82,369.03,45.41,Keep
Australia,2023,Dairy Products,17597.05,17582.88,164.06,222.8,59.52,Keep
Australia,2022,Grains & Cereals,46452.95,49081.57,176.89,476.77,60.28,Keep
India,2022,Frozen Food,16327.38,18419.43,133.81,823.27,61.29,Keep
Canada,2022,Fruits & Vegetables,26416.84,28843.62,54.22,1122.68,30.98,Keep
South Korea,2024,Dairy Products,48474.74,43605.18,39.27,840.18,65.97,Keep
France,2022,Frozen Food,10751.44,8987.4,131.56,1296.98,63.74,Keep
Australia,2022,Beverages,38371.75,37851.62,67,1198,53.97,Keep
Italy,2022,Prepared Food,44346.35,45835.32,68.84,246.61,31.12,Keep
USA,2022,Beverages,22160.77,18453.23,144.19,814.77,49.32,Keep
Brazil,2023,Dairy Products,28810.62,34553.6,129.68,856.13,50.22,Keep
USA,2022,Frozen Food,31304.33,28928.51,176.79,1013.41,51.35,Keep
Japan,2022,Frozen Food,9697.91,9427.62,44.7,56.85,55.06,Keep
Spain,2023,Grains & Cereals,32843.06,27504.95,143.86,491.46,54.56,Keep
South Africa,2022,Prepared Food,11836.21,10700.73,78.14,520.91,58.2,Keep
Brazil,2024,Bakery Items,31449.81,34344.23,119.49,1207.32,46.1,Keep
Turkey,2022,Frozen Food,49364.51,49360.9,128.31,114.22,57.73,Keep
Saudi Arabia,2022,Frozen Food,3940.06,4568.88,164.76,268.85,53.06,Keep
India,2022,Fruits & Vegetables,49620.52,59228.93,65.58,1269.49,49.1,Keep
Indonesia,2023,Meat & Seafood,22413.83,18004.61,53.68,891.19,39.61,Keep
Canada,2023,Beverages,20235.81,16744.08,108.17,94.52,54.46,Keep
China,2022,Dairy Products,12292.07,12281.97,86.92,692.13,39.12,Keep
Mexico,2024,Frozen Food,12488.76,13219.64,27.03,710.49,54.35,Keep
Indonesia,2022,Grains & Cereals,30749.52,35421.32,188.62,1048.7,57.56,Keep
Mexico,2022,Beverages,28203.03,33832.7,154.59,789.8,61.08,Keep
Italy,2022,Bakery Items,41651.4,46007.13,59.15,18.29,30.34,Keep
Turkey,2024,Prepared Food,41099.29,43634.85,148.06,1054.79,59.01,Keep
Russia,2022,Meat & Seafood,42794.25,44156.2,48.79,844.28,56.12,Keep
India,2022,Fruits & Vegetables,39155.97,44076.29,135.54,434.9,64.27,Keep
Argentina,2022,Fruits & Vegetables,33269.48,32891.5,75.6,936.04,41.32,Keep
Canada,2023,Meat & Seafood,38683.68,46155.58,103.97,785.29,54.22,Keep
Italy,2022,Bakery Items,2961.25,2885.45,118.25,1338.62,61.53,Keep
Indonesia,2022,Dairy Products,1484.47,1234.04,48.37,477.14,36.07,Keep
India,2024,Dairy Products,9720.84,10304.87,40.11,116.33,53.31,Keep
Argentina,2023,Frozen Food,41009.81,44634.39,98.55,706.53,65.8,Keep
Japan,2022,Meat & Seafood,45348.53,40814.97,79.58,405.35,60.25,Keep
China,2023,Fruits & Vegetables,13158.48,14397.43,43.99,1323.82,50.27,Keep
Germany,2022,Frozen Food,5817.52,6103.72,31.06,1102.26,46.32,Keep
France,2022,Meat & Seafood,45264.66,39253.92,62.04,1094.28,63.98,Keep
Brazil,2022,Meat & Seafood,43415.16,35330.62,123.32,366.42,63.24,Keep
Germany,2022,Frozen Food,5772.53,6403.4,163.62,1252.55,56.34,Keep
India,2022,Beverages,46679.66,50458.52,97.62,1104.62,61.78,Keep
Argentina,2022,Meat & Seafood,14768.04,14570.61,90.3,181.41,49.34,Keep
South Africa,2023,Bakery Items,9508.41,10582.75,20.66,48.13,40.75,Keep
South Korea,2022,Bakery Items,45786.18,40409.74,187.79,833.26,42.24,Keep
Italy,2024,Beverages,24121.2,28455.91,23.33,710.14,32.32,Keep
France,2022,Bakery Items,45520.34,50610.21,119.5,218.64,60.73,Keep
France,2022,Dairy Products,45069.58,40138.57,131.14,1165.87,44.42,Keep
Germany,2022,Prepared Food,18104.97,19402.95,118.84,239.4,43.94,Keep
South Korea,2022,Prepared Food,35237.47,35622.63,116.27,1369.87,53.21,Keep
USA,2022,Meat & Seafood,26712.79,26848.34,66.14,761.93,52.13,Keep
UK,2022,Prepared Food,32439.13,37580.81,164.52,696.56,56.04,Keep
Spain,2023,Prepared Food,45324.58,48623.38,83.97,167.59,62.21,Keep
Turkey,2023,Prepared Food,26357.4,31374.01,110.76,189.93,35.75,Keep
Indonesia,2022,Prepared Food,25172.33,22498.63,111.99,958.92,55.87,Keep
South Africa,2023,Meat & Seafood,37116.04,32648.86,177.79,374.43,31.2,Keep
South Africa,2022,Frozen Food,20091.78,17367.8,156.4,1355.95,65.67,Keep
USA,2022,Meat & Seafood,36926.85,29718.74,49.29,552.76,48.35,Keep
South Korea,2022,Dairy Products,28930.73,26402.82,65.69,754.75,53.04,Keep
South Africa,2022,Fruits & Vegetables,39712.35,41529.26,99.07,1092.9,41.42,Keep
South Africa,2023,Beverages,17821.64,16109.76,24.35,66.18,68.81,Keep
UK,2022,Prepared Food,23928.44,21243.15,163.29,396.86,45.63,Keep
Germany,2024,Frozen Food,24366.95,23847.84,29.73,1298.63,42.29,Keep
Argentina,2022,Dairy Products,31658.66,32503.18,113.37,51.5,53.27,Keep
Mexico,2024,Dairy Products,25626.17,20892.25,168.75,850.52,43.5,Keep
UK,2022,Meat & Seafood,13519.64,14221.21,40.12,860.01,66.66,Keep
Japan,2023,Grains & Cereals,2267.05,2347.17,146.55,129.91,35.9,Keep
USA,2022,Bakery Items,31220.86,36959.44,184.7,1372.14,52.9,Keep
Russia,2022,Beverages,41474.48,39921.34,48.86,852.42,34.83,Keep
UK,2023,Fruits & Vegetables,14270.47,16875.48,131.8,672.26,45.11,Keep
South Korea,2024,Bakery Items,10750.06,11143.47,194.86,539.34,42.15,Keep
Canada,2022,Beverages,10556.1,8660.98,132.6,1304.55,34.11,Keep
France,2023,Meat & Seafood,31881.43,36280.05,188.46,587.85,60.03,Keep
Spain,2023,Frozen Food,24170.61,24194.62,35.97,487.76,53.64,Keep
South Africa,2022,Bakery Items,9084.81,9106.69,114.47,640.84,57.48,Keep
France,2024,Grains & Cereals,46890.11,50991.35,101.17,970.27,69.48,Keep
Mexico,2022,Dairy Products,36705.17,33000.48,151.23,1135.49,49.5,Keep
Russia,2022,Beverages,40109.93,42459.75,195.77,928.28,63.71,Keep
Canada,2022,Dairy Products,17139.36,17798.58,79.47,296.25,30.6,Keep
South Africa,2022,Fruits & Vegetables,44413.09,50839.16,101.44,731.38,45.24,Keep
South Africa,2022,Bakery Items,40533.78,42367.39,197.89,425.81,46.35,Keep
South Korea,2022,Fruits & Vegetables,36243.19,32173.44,22.91,1359.27,59.5,Keep
Australia,2023,Grains & Cereals,41819.44,36925.57,196.26,813.71,67.98,Keep
South Korea,2023,Prepared Food,49107.7,50025.56,115.42,233.71,57.95,Keep
Turkey,2023,Grains & Cereals,42525.41,43267.76,95.59,1200.86,34.98,Keep
India,2023,Bakery Items,11040.53,11278.52,83.92,172.33,64.77,Keep
Argentina,2022,Bakery Items,40689.92,32794.75,52.19,884.34,55.33,Keep
Mexico,2023,Prepared Food,35076.45,35115.4,56.36,377.48,31.52,Keep
Australia,2022,Beverages,43272.07,44745.57,127.93,1079.86,34.64,Keep
Turkey,2024,Dairy Products,41633.95,38231.15,168.63,563.08,65.24,Keep
Turkey,2022,Fruits & Vegetables,39587.56,38946.61,184.85,1328.83,57.33,Keep
UK,2022,Prepared Food,44113,47014.28,192.98,967.44,59.65,Keep
Australia,2023,Meat & Seafood,22703.51,24955.67,66.84,1357.71,49.76,Keep
Italy,2023,Dairy Products,13326.03,11474.94,139.32,1018.74,43.19,Keep
Spain,2023,Meat & Seafood,19686,21084.15,36.77,1092.68,35.82,Keep
South Africa,2022,Meat & Seafood,1474.04,1208.28,104.39,828.2,31.77,Keep
Germany,2022,Beverages,49956.72,54284.18,115.03,327.46,33.73,Keep
Indonesia,2022,Meat & Seafood,15785.95,14969.94,89.02,1219.19,42.42,Keep
UK,2024,Bakery Items,32539.06,36744,159.49,52.6,33.8,Keep
India,2022,Fruits & Vegetables,25330.28,23617.35,149.22,484.02,32.41,Keep
Australia,2023,Frozen Food,18746.74,17600.48,66.86,832.71,57.07,Keep
Mexico,2023,Grains & Cereals,44680.27,53062.49,140.02,904.94,61.57,Keep
Canada,2022,Beverages,34547.54,27917.66,176.46,1143.81,60.94,Keep
Saudi Arabia,2022,Grains & Cereals,47226.15,41252.03,192.94,1385.29,38.21,Keep
Italy,2022,Bakery Items,26687,26492.81,99.71,396.82,51.39,Keep
Mexico,2022,Fruits & Vegetables,26877.12,26874.74,74.08,1219.56,41.75,Keep
Australia,2022,Grains & Cereals,42604.34,42108.82,182.62,685.22,56.14,Keep
Canada,2024,Dairy Products,39004.36,44355.91,58.31,896.32,38.52,Keep
Brazil,2023,Meat & Seafood,38139.33,41925,58.97,1053.52,59.51,Keep
Italy,2022,Prepared Food,37308.08,36947.35,118.13,873.64,32.28,Keep
Italy,2022,Prepared Food,28613.26,33929.54,172.13,477.67,44.32,Keep
Japan,2022,Beverages,44882.71,51488.54,83.65,1024.39,52.93,Keep
Germany,2022,Prepared Food,47978.53,48842.03,114.25,111.77,58.91,Keep
Mexico,2022,Beverages,38332.25,35162.41,33.43,1343.89,60.76,Keep
USA,2022,Grains & Cereals,4429.76,5034.96,100.2,977.93,43.67,Keep
Canada,2022,Dairy Products,48968.97,47044.66,174.05,766.53,51.77,Keep
South Korea,2022,Meat & Seafood,19778.66,17597.46,157.66,251.85,38.61,Keep
USA,2024,Frozen Food,7125.82,6079.02,165.78,684.89,32.08,Keep
Russia,2022,Meat & Seafood,42078.64,35469.58,22.55,1352.61,43.07,Keep
Argentina,2022,Beverages,2481.87,2326.77,155.84,128.11,56.8,Keep
France,2024,Fruits & Vegetables,32948.34,27988.9,58.41,925.96,36.92,Keep
USA,2022,Bakery Items,34495.83,33564.3,114.58,197.76,68.21,Keep
Argentina,2024,Grains & Cereals,16270.95,16900.74,144.49,846.88,47.01,Keep
India,2022,Prepared Food,755.35,856.23,176.64,98.7,58.54,Keep
Russia,2022,Frozen Food,7876.24,7870.43,198.28,1112.61,43.97,Keep
Canada,2022,Beverages,26200.53,29637.18,46.49,1237.89,57.5,Keep
Mexico,2022,Frozen Food,47286.8,41615.04,31.9,1333.97,47.01,Keep
UK,2022,Prepared Food,4738.62,5043.42,99.09,629.72,38.12,Keep
Canada,2023,Beverages,5164.03,5766.99,189.15,1245.91,51.75,Keep
Canada,2022,Fruits & Vegetables,20168.3,23300.52,150.91,941.01,68.16,Keep
India,2022,Bakery Items,14091.09,13971.36,167.9,899.81,49.07,Keep
Argentina,2023,Meat & Seafood,41910.99,47436.94,89.8,324.8,67.44,Keep
Spain,2022,Prepared Food,38549.89,39132.69,92.88,850.27,60.05,Keep
China,2022,Fruits & Vegetables,43181.63,46396.12,55.05,998.51,51.84,Keep
Indonesia,2022,Beverages,47089.75,51628.68,120.49,422.46,66.81,Keep
Germany,2022,Bakery Items,23179.55,25727.14,172.19,1384.77,38.07,Keep
Indonesia,2022,Beverages,13677.6,11904.54,26.95,236.04,54.38,Keep
Japan,2024,Frozen Food,2886.99,3327,147.87,13.72,65.87,Keep
France,2022,Frozen Food,15594.99,14825.92,78.92,202.99,33.17,Keep
Italy,2023,Meat & Seafood,28316.47,30769.01,178.99,518.97,62.13,Keep
USA,2024,Grains & Cereals,34832.33,32198.66,198.47,1366.62,31.53,Keep
South Korea,2022,Grains & Cereals,22942.38,19277.51,113.71,522.25,53.82,Keep
USA,2022,Grains & Cereals,19540.97,17882.5,183.25,214.17,33.81,Keep
Russia,2023,Frozen Food,32703.24,32320.61,73.56,1392.18,31.6,Keep
Russia,2024,Fruits & Vegetables,23569.68,27289.4,199.15,1095.32,58.4,Keep
UK,2022,Fruits & Vegetables,24194.55,24007,72.43,703.37,65.48,Keep
Russia,2022,Dairy Products,28166.03,32064.33,135.33,73.53,45.78,Keep
Brazil,2022,Bakery Items,49442.91,42866.87,69.15,144.79,37.58,Keep
Indonesia,2022,Grains & Cereals,48773.09,49979.19,110.86,885.95,35.71,Keep
China,2022,Meat & Seafood,7481.55,7570.6,100.16,148.58,61.13,Keep
India,2022,Frozen Food,46634.87,45070.38,26.42,1124.13,53.75,Keep
India,2022,Dairy Products,40407.94,46063.83,141.29,716.07,46.59,Keep
UK,2022,Prepared Food,21406.41,22080.12,179.61,100.57,38.28,Keep
UK,2022,Meat & Seafood,20915.43,16804.55,63.75,1254.72,53.38,Keep
Germany,2022,Beverages,16954.84,15739.66,72.94,61.59,44.13,Keep
Canada,2022,Prepared Food,16761.78,15154.43,124.14,580.61,52.78,Keep
Japan,2022,Beverages,4353.59,4874.66,28.05,1152.48,48.57,Keep
UK,2023,Bakery Items,8619.86,9439.1,74.56,1106.7,45.19,Keep
France,2024,Grains & Cereals,22354.93,18257.96,27.61,690.29,46.97,Keep
Mexico,2022,Fruits & Vegetables,13381.14,15056.57,131.13,603.48,32.25,Keep
Mexico,2022,Frozen Food,12188.72,14306.6,74.88,241.25,44.18,Keep
Spain,2023,Bakery Items,30417.22,28835.35,25.72,680.5,61.9,Keep
Argentina,2022,Prepared Food,8753.69,7156.15,194.2,1126.43,65.66,Keep
Spain,2022,Bakery Items,28903.66,33001.6,183.31,1034.21,48.82,Keep
UK,2022,Bakery Items,5065.24,5905.3,149.57,325.33,45.42,Keep
Canada,2023,Prepared Food,16069.8,16316.85,42.72,1354.29,54.06,Keep
Brazil,2023,Prepared Food,19085.74,21107.47,168.14,872.11,62.02,Keep
Mexico,2023,Beverages,45330.2,45565.69,135.78,854.62,39.71,Keep
Italy,2022,Prepared Food,30444.72,33319.75,174.02,1072.82,33.8,Keep
France,2022,Meat & Seafood,27795.89,27809.32,124.26,812.38,50.26,Keep
Saudi Arabia,2023,Prepared Food,35127.95,38873.69,186.21,877.4,51.37,Keep
South Africa,2023,Beverages,13534.93,12427.64,148.55,1189.8,54.12,Keep
Mexico,2022,Beverages,9891.78,10715.3,178.53,1363.16,55.37,Keep
Japan,2022,Meat & Seafood,16387.81,14306.93,22.2,33.72,40.81,Keep
South Korea,2022,Dairy Products,23221.41,21893.64,50.27,1273.04,43.9,Keep
Japan,2024,Meat & Seafood,37100.54,35853.13,144.38,321.21,40.1,Keep
Mexico,2024,Meat & Seafood,12930,13350.78,172.99,86.63,52.4,Keep
Canada,2024,Bakery Items,13512.16,15702.23,168.7,406.53,37.2,Keep
Italy,2022,Grains & Cereals,47045.88,46778.65,183.74,876.35,45.62,Keep
South Korea,2022,Prepared Food,12137.82,10808.48,85.69,327.26,50.77,Keep
South Korea,2024,Frozen Food,13338.14,12307.87,112.42,450.02,43.32,Keep
Canada,2022,Bakery Items,46897.32,39414.29,24.22,826.28,61.51,Keep
Australia,2023,Grains & Cereals,1434.79,1521.97,98.79,1150.57,61.54,Keep
Australia,2024,Bakery Items,17941.25,14499.25,165.11,492.54,32.91,Keep
China,2022,Beverages,45817.97,39883.48,109.08,575.72,65.44,Keep
USA,2024,Dairy Products,9666.4,9795.89,192.07,300.96,62.59,Keep
Mexico,2022,Prepared Food,45332.39,51674.39,91.59,416.18,65.91,Keep
China,2022,Fruits & Vegetables,11786.75,10759.21,182.31,252.68,50.89,Keep
Italy,2022,Fruits & Vegetables,3467.04,3261.48,130.76,1018.38,52.19,Keep
Germany,2023,Dairy Products,39760.39,38052.74,70.24,841.5,41.85,Keep
Germany,2024,Prepared Food,47659.16,56031.37,89.22,1024.82,62.61,Keep
China,2022,Beverages,28296.54,30760.33,158.78,1291.92,46.61,Keep
Indonesia,2023,Grains & Cereals,21517.15,25165.97,61.64,511.25,30.58,Keep
India,2022,Dairy Products,4778.72,4000.5,43.61,1068.43,35.34,Keep
Turkey,2023,Bakery Items,48952.68,45037.44,127.04,485.67,62.91,Keep
Argentina,2023,Grains & Cereals,18528.17,15310.1,39.67,585.84,33.51,Keep
Russia,2022,Fruits & Vegetables,9273.87,8570.01,126.89,1303.12,68.1,Keep
Indonesia,2023,Dairy Products,42686.47,35909.27,131.08,932.12,39.68,Keep
Japan,2024,Dairy Products,35892.2,36287.72,154.65,183.52,30.62,Keep
Russia,2023,Fruits & Vegetables,6482.29,6869.84,30.16,291.71,54.49,Keep
South Africa,2022,Beverages,29805.05,26847.65,183.1,841.8,61.84,Keep
Italy,2023,Beverages,20092.05,18645.74,24.02,317.2,64.09,Keep
USA,2022,Bakery Items,47969.67,55274.78,25.01,111.06,55.71,Keep
Mexico,2024,Grains & Cereals,17324.62,20112.65,140,243.99,31.13,Keep
Spain,2022,Frozen Food,19381.72,22132.49,35.49,1398.58,46.16,Keep
Brazil,2023,Bakery Items,6367.24,5602.06,136.13,857.6,58.67,Keep
Indonesia,2022,Frozen Food,32192.22,26729.66,143.03,1010.28,67.53,Keep
Mexico,2023,Meat & Seafood,26861.08,23432.21,107.89,853.88,55.24,Keep
South Korea,2022,Frozen Food,2278.7,2142.54,181.23,321.96,58.94,Keep
Spain,2022,Fruits & Vegetables,10206.05,10741.59,139.67,1189.12,34.15,Keep
France,2024,Dairy Products,11016.36,10330.11,199.71,1212.3,57.56,Keep
UK,2024,Grains & Cereals,30251.98,30485.18,155.22,673.12,33.25,Keep
South Korea,2022,Grains & Cereals,8406.55,9188.41,171.68,1077.82,31.52,Keep
France,2022,Fruits & Vegetables,29035.55,32125.02,22.31,769.02,39.7,Keep
China,2023,Dairy Products,29274.27,32530.11,131.41,472.82,52.1,Keep
India,2022,Bakery Items,49277.74,41076.84,72.04,339.89,55.85,Keep
Spain,2023,Grains & Cereals,20059.23,20402.65,86.38,691.1,48.02,Keep
India,2022,Beverages,8007.28,9495.3,103.7,109.77,58.37,Keep
India,2022,Meat & Seafood,45503.17,36840.95,166.32,497.53,49.41,Keep
South Korea,2022,Prepared Food,779.44,887.93,75.86,527.12,69.74,Keep
Canada,2024,Bakery Items,44657.28,35786.01,61.37,532.43,67.86,Keep
Russia,2024,Fruits & Vegetables,6638.89,7472.43,190.81,859.16,46.5,Keep
Italy,2022,Grains & Cereals,35558.23,40005.64,102.15,629.49,36.12,Keep
India,2024,Frozen Food,21206.07,22699.83,122.95,828.48,66.38,Keep
India,2023,Prepared Food,26977.56,24530.02,193.92,341.15,68.48,Keep
France,2022,Bakery Items,18047.51,19246.75,25.15,1241.65,40.88,Keep
China,2022,Bakery Items,26894.67,27476.66,111.71,1164.74,53.72,Keep
Italy,2022,Bakery Items,4785.15,4529.71,78.19,1007.65,44.04,Keep
South Korea,2024,Fruits & Vegetables,5443.2,6472.66,91.07,781.44,61.41,Keep
Mexico,2024,Frozen Food,27555.01,32211.96,198.85,879.18,58.24,Keep
France,2023,Dairy Products,17163.86,15214.37,93.25,795.91,37.65,Keep
Germany,2022,Fruits & Vegetables,4027.06,4161.64,39.1,1103.69,53.65,Keep
Mexico,2022,Dairy Products,45255.38,52762.12,112.77,1315.81,67.33,Keep
Australia,2023,Dairy Products,37510.62,39567.06,163.64,483.55,62.31,Keep
USA,2024,Grains & Cereals,34569.48,40686.83,139.98,1130.72,51.8,Keep
Turkey,2022,Grains & Cereals,34983.66,37743.95,96.33,612,33.22,Keep
Italy,2023,Bakery Items,4743.07,4114.13,114.16,344.64,57.84,Keep
Argentina,2022,Dairy Products,38141.73,37376.6,80.64,1046.48,60.19,Keep
India,2022,Meat & Seafood,25569.5,25134.78,169.4,548.21,41.9,Keep
South Africa,2022,Prepared Food,30807.18,32697.62,40.46,162.26,42.31,Keep
Australia,2022,Meat & Seafood,21556.95,17602.2,113.88,1306.53,58.27,Keep
Mexico,2024,Meat & Seafood,46119.45,49919.74,167.45,74.18,67.86,Keep
Indonesia,2024,Fruits & Vegetables,19489.91,16282.94,74.42,741.77,64.61,Keep
Mexico,2022,Prepared Food,6200.24,5526.87,136.68,143.32,41.36,Keep
Saudi Arabia,2022,Fruits & Vegetables,16504.06,19657.42,94.68,399.1,48.13,Keep
Russia,2022,Prepared Food,31479.34,31546.7,150.02,1004.63,68.21,Keep
France,2022,Meat & Seafood,24035.89,24015.47,63.73,272.6,52.7,Keep
Russia,2022,Dairy Products,39056.71,46470.62,94.79,1292.74,65.38,Keep
Indonesia,2022,Grains & Cereals,12214.35,12612.64,69.67,393.64,35.74,Keep
Spain,2022,Bakery Items,4975.04,4138.17,69.22,234.27,30.36,Keep
South Africa,2022,Grains & Cereals,37858.74,34972.42,78.05,486.42,64.67,Keep
Turkey,2022,Grains & Cereals,29974.31,32496.03,65.29,1100.63,60.6,Keep
UK,2022,Frozen Food,49337.57,42934.92,103.54,482.65,32.02,Keep
Turkey,2022,Beverages,3762.04,3618.29,27.4,996.2,39.89,Keep
France,2022,Meat & Seafood,21473.25,19444.45,80,1222.16,53.73,Keep
Brazil,2022,Dairy Products,14489.65,13756.34,141.69,282.11,39.79,Keep
India,2023,Fruits & Vegetables,11603.07,11644.19,26.14,140.02,45.24,Keep
Indonesia,2023,Bakery Items,11475.82,12885.65,136.27,20.81,38.52,Keep
Canada,2024,Grains & Cereals,10072.96,9513.04,181.16,27.82,43.75,Keep
Spain,2024,Prepared Food,34364.95,32364.26,80.99,117.11,68.44,Keep
Russia,2022,Prepared Food,37844.67,39814.87,130.72,20.03,30.33,Keep
Brazil,2022,Dairy Products,14117.53,12597.16,159.8,406.27,44.22,Keep
Australia,2022,Fruits & Vegetables,18067.07,16203.86,185.11,281.01,34.06,Keep
Argentina,2024,Grains & Cereals,9529.03,7712.48,29.71,205.53,52.34,Keep
India,2023,Prepared Food,37980.82,40452.6,28.37,1076.39,57.82,Keep
Mexico,2022,Prepared Food,15312.77,13090.17,28.72,992.86,49.73,Keep
USA,2023,Beverages,22494.61,22123.44,110.24,907.33,33.97,Keep
